144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: The Westin Melbourne || Industry (ANZSIC4) code: 4400 || Industry (ANZSIC4) description: Accommodation || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Lobby Lounge || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
144.967430 -37.815840 --> Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Trading name: Allegro Restaurant || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.9674252 || y coordinate: -37.81583755 || Location: (-37.81583755, 144.9674252) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110450 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Huawei || Industry (ANZSIC4) code: 2422 || Industry (ANZSIC4) description: Communications Equipment Manufacturing || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Elevated Accounting || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
